source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag
229662350977446016,157.72003352059812,-3.4546158036123016,0.7352165425544938,0.014860002,4.472407420265457,0.015812598,-5.783166738343578,0.011065652,6.9863105,0.42058247,12.7567005
229671593748388864,157.48497967172372,-3.700915964656928,1.7378591414021665,0.026127063,7.431632767556549,0.025663713,-14.382065524617563,0.017296191,1.0806077,9.273594,10.468317
229673277374251392,157.54855966791834,-3.4989346931291996,0.3473909724070803,0.01384251,2.863859009815364,0.015877243,0.021861653688337788,0.010719106,18.879982,0.5907784,13.0805855
229675338958541568,157.64457649718727,-3.452218264883952,1.135919741980421,0.015223423,-3.029011660883482,0.017031072,3.528159848719824,0.011573432,-23.697277,2.5071368,13.51068
229676301032524416,157.5635920110386,-3.445127046788428,0.358973503778775,0.0652323,0.6042281548471905,0.07051679,-1.414013286193999,0.054768268,-55.765533,0.29292697,12.842515
230127375675310848,156.65233247697105,-9.834562817818744,0.5917413324410272,0.015174531,3.5948154808128088,0.019076884,-6.660895829805005,0.012705754,26.576674,0.64604515,12.993355
230131223966011392,156.5392885181787,-9.864286790983613,1.017909904551683,0.01747732,4.546531505655979,0.022339264,-2.8937508726645387,0.01587845,-73.021416,2.2330852,13.741643
230131979880235264,156.49277505363884,-9.811137468172358,2.3986277058664998,0.029541802,-5.107823592190271,0.033612385,-12.395487748745069,0.022570008,-14.848472,0.8253243,12.064316
230132800215995648,156.68554026652788,-9.75205639037906,2.47695108575861,0.016899554,9.559793346016713,0.022695025,-20.860959065430883,0.014632216,19.755922,1.294807,12.797558
230197194663430144,156.1869383067177,-9.759633155270071,1.5682837169868378,0.016991165,-2.9998972332978404,0.01925715,-1.308402590479075,0.013722604,-21.043762,3.9730287,13.541575
230210388802894592,156.04386888913433,-9.494961513513399,0.3631527285789177,0.020890027,0.8367344865581342,0.02142958,0.6819502251516909,0.017657513,5.317915,1.770838,13.986671
230219764713139840,156.24237967943702,-9.24167284404183,1.51362812549505,0.018559372,7.669984195884659,0.020291463,-10.323978793632484,0.015232755,-18.866598,5.3292823,13.099161
230341368125468544,156.92889213217978,-9.079078108724575,2.0668889567693327,0.01797521,-3.9231562832424607,0.018116914,-0.8437963840996271,0.013993774,-12.637323,5.119381,11.87623
230356310314707712,157.12709141604947,-8.60315310527092,5.519648540547109,0.015649209,-0.16142690757152423,0.018784944,-53.00503779072656,0.012928901,-59.497616,0.45505545,12.029046
230370848780906368,156.94540405167317,-8.738392910453914,1.0796473822322794,0.020475656,5.027256211483817,0.029166806,-8.51396486030946,0.01649347,5.175885,0.2581429,12.318466
230395656514755840,157.44462222212968,-8.21566611994279,0.4754398925190016,0.02268754,0.543064396863636,0.023372509,-2.8485375182136505,0.018721566,19.477446,1.3379239,13.702306
230418162143457024,157.24747764783712,-8.128410582261385,0.3240048754994525,0.05583656,-0.31061230822493857,0.055594813,0.935036829171553,0.049305495,-17.573093,1.3965319,13.840475
230418711899135616,157.23935104382434,-8.070027301130828,0.4471308760853408,0.015930014,-1.1058728842511925,0.017331934,-1.9731009732288758,0.014108888,-25.93097,0.98391604,13.021972
230420597384936960,157.2118127525539,-8.016525320853814,0.8266431411011377,0.0151517065,-0.43416179530887367,0.016543051,-0.5160151547373177,0.013960042,-12.922529,0.40014496,12.445935
230425927444113152,157.49651034922186,-7.813313014515135,0.3872827877803529,0.018037999,0.4832383202872984,0.02063939,-3.299896284088166,0.015211137,18.747215,1.5293686,13.813138
230428229546625664,157.37686290235501,-7.937471562029722,0.5030801379583575,0.016667487,-1.2534746334159594,0.017501421,-1.1595030737588738,0.013304263,-9.262388,0.9022008,13.368182
230434689177296128,157.4575184485666,-7.59056865985735,0.41909964334200034,0.019895224,-0.1484301170358774,0.026067026,-0.15048379342008755,0.01638476,-20.645023,1.6004314,13.914423
230447471000003584,157.19072458478627,-7.713447863715997,0.7557657101947347,0.033047948,7.365174266523859,0.046796273,-10.439603669955428,0.028509393,-40.608116,0.15931611,11.434243
230452040845094016,157.27775940675062,-7.4307332535847115,0.8432430692084633,0.13480195,1.081230599165314,0.1436016,0.055307597731852016,0.10713556,27.693577,3.928635,13.740867
230457435324004992,157.12376380596714,-7.404090165004494,0.3116075465546436,0.020288788,-0.09544857788398375,0.023461886,-2.2764517518397485,0.018477643,-13.640892,1.6281163,13.784813
230460905657862016,157.10634234769745,-8.120922232521604,1.1633164873392516,0.020402197,-2.629885292636886,0.022258013,-8.438570500660582,0.018822962,-20.13846,7.1447134,13.916495
